CODCAR;CODVIA;NOMCAR
6440;CA;DEL CHARDONAY - RAIMAT
6442;CA;DEL MACABEU - RAIMAT
6444;CA;DEL TEMPRANILLO - RAIMAT
255;PL;ALMUDEFAR - LLIVIA
6446;PL;MAJOR - RAIMAT
7680;PD;ENTITAT DE SUCHS
5925;PD;PLA DE RAIMAT
6011;PO;POL.INDUST. CAMI DELS FRARES
5100;CA;JOSEP VIOLA I GAMON
5105;CA;FRANCESC BORDALBA I MONTARDIT
5110;CA;FRANCESC ARGILES I BIFET
5115;CA;RICARD CALVET I SERRA
5120;CA;JOSEP SARRATE I FORGA
5125;CA;ANTONI GUIX I RIBELLES
5130;PL;PAÏSOS CATALANS
5135;CA;MANRESA
5140;CA;VIC
5145;CA;TERRASSA
5150;CA;SABADELL
5155;CA;VALL DE CABO
5160;CA;SUNYER
5165;CA;VALL D'ASSUA
5170;CA;VALL FOSCA
5175;CA;RIU GARONA
5180;CA;ALBERT COMA I ESTADELLA
5185;CA;BALDOMER GILI I ROIG
5190;PL;DE LA VINYA - RAIMAT
5195;JA;LES MAGNOLIES
1275;CA;CARMELITES
1175;PG;CAPITA FARRE
7665;TR;CARME - SUCHS
7726;TR;MAJOR - SUCHS
7685;TR;ELS HORTS - SUCHS
7645;TR;VILOT - SUCHS
6012;PO;POL.INDUST. MECANOVA
4050;CA;L'ALBI
8630;CA;VIMBODI
8640;CA;VINAIXA
930;CA;BOVERA
935;CA;PLA DE SANTA MARIA
925;CA;VILA-RODONA
1785;CA;RAFAEL GRAS I D'ESTEVA
1795;JA;MARIA MERCE MARÇAL
1805;PL;UTXESA
1815;PG;RIU CORB
6455;CA;GOLF DE RAIMAT
7635;AV;DEL 8 DE MARÇ - SUCHS
7655;PL;PAGESIA - SUCHS
7675;CA;CALANDRIA - SUCHS
7780;CA;PONENT - SUCHS
7785;TR;PONENT - SUCHS
7795;CA;NORD - SUCHS
4437;CA;ORENETES - LLIVIA
4438;CA;VERDEROL - LLIVIA
215;CA;ALGUAIRE
5835;CA;PERPINYA
4260;CA;LERIDA
6615;PL;ROSA SENSAT
2545;PL;FERROVIARIS
915;CA;BRASIL
1575;CA;COLOMBIA
8515;CA;XILE
385;CA;ARGENTINA
5090;PL;JOSEP SOLANS
4775;TR;VILA MONTCADA
4705;PL;MARIA AURELIA CAPMANY
5815;CA;PERE DE CABRERA
55;CA;AGUSTI DURAN I SANPERE
3040;CA;GUILLEM DE BEZIERS
2090;CA;ANDREU D'ESPENS
4445;CA;ORIOL MARTORELL
8545;PL;VOLUNTARIAT
1535;PL;CLARA CAMPOAMOR
695;PG;BARQUES DEL TOFOL
4225;CA;LAUREA FIGUEROLA
4725;AV;MARIMUNT
115;CA;ALCALDE MONTANYA
165;CA;ALCALDE SANGENIS
3765;CA;JOSEP PALLACH
550;CA;ARQUITECTE IGNASI MIQUEL
9008;AP;DE CORREUS - R.FERRAN
6392;CA;ESGLESIA - RAIMAT
2780;PQ;GARDENY
3675;JA;JAUME MAGRE
285;CA;AMSTERDAM
4885;JA;MERCE RODOREDA
1295;JA;CARME AMAYA
95;JA;ALCALDE ESTADELLA
2636;JA;FRANCESC SOLANA
8435;CA;VIOLANT D'HONGRIA
3685;PL;JOAN SANTAMARIA
5095;PL;JOSEP WEHRLE
8066;PL;TRAGO DE NOGUERA
4955;CA;MONESTIR DE LES FRANQUESES
4956;CA;MONESTIR DE POBLET
1255;PQ;SANT ANASTASI - LLIVIA
8525;JA;ZOE ROSINACH
8030;PL;TORRE ABIZANDA
3677;PL;JAUME RUBIO
4895;AV;MIQUEL BATLLORI
4805;AV;PRESIDENT JOSEP IRLA
3560;CA;ENGINYER SANTI COMPANYS
3565;CA;ENGINYER ANTONI LLOBET
6330;CA;QUATRE DE FEBRER - RAIMAT
7700;JA;LA PAU - SUCHS
2296;JA;ERNEST LLUCH
9010;CT;NACIONAL II
9011;CT;NACIONAL 230
9012;CT;NACIONAL 240
9016;;RIU SEGRE - CANALITZACIO
9017;;CAMP D'ESPORTS - APARC.
9018;;UNIVERSITAT - APARC.
9019;;HOSPITAL ARNAU DE VILANOVA
9020;;HOSPITAL DE SANTA MARIA
9021;;GUARDIA URBANA - CASERNA
9022;PQ;CAMPS ELISIS
9023;;AGRONOMS - APARC.
9024;;FIRETES
9025;PQ;LA MITJANA
9009;AP;DE CORREUS - C/SEGOVIA
9026;;MERCAT CENTRAL
9027;CT;C-12
9028;CT;C-13
9029;;CANALITZACIO RIU SEGRE
6452;CA;TRAVESSERA DE L'ESTACIO-RAIMAT
6013;PO;POL.INDUST. CREU DEL BATLLE
3725;PQ;JOAN ORO
272;PL;AMISTAT
70;CA;ALAMUS
8045;CA;TORRELAMEU
4145;CA;LA PORTELLA
4785;CA;VILANOVA DE FONTANET
4715;CA;MARIA VILALTELLA
9030;CT;LL-11
9031;CT;C-11
6014;PO;POL.INDUST. LES CANALS
4925;PL;MIGUEL SERVET
3785;PL;JOAN VILAGRASA
8385;CA;VICENÇ XIMENIS
8535;CA;YEHUDI MENUHIN
5825;CA;PEPITA SAGAÑOLES
5215;PL;PABLO IGLESIAS
1345;PL;CATERINA ALBERT
5225;CA;ALBERT PORQUERAS
2120;PL;ENCARNA LOPEZ
5765;CA;PASCUAL MADOZ - LLIVIA
4165;CA;LES CANALS
4170;CA;LA CREU DEL BATLLE
5235;CA;AUGUST FONT
7800;CA;SOL
7805;CA;MERCURI
7810;CA;URA
7815;CA;PLUTO
5515;CA;MARIE CURIE
5520;CA;MARIA MONTESSORI
5525;CA;CARME LAFORET
5530;AV;ALBARES
5535;CA;JOAQUIN COSTA
5540;AV;LA CANADIENSE
5545;CA;CAL BERNET
5550;CA;RAMON RUBIAL
5560;CA;FRANJA DE PONENT
5565;CA;COPA D'OR
5570;PL;MOLI DE SANT ANASTASI
5575;PL;FRANCESC VIADIU
5580;PL;LO MARRACO
5585;PL;JESUS MONCADA
5590;PL;MARTA MATA
5595;AV;CIUTAT JARDI
5600;CA;TIL.LER
5605;CA;ROURE
5610;CA;ALENTORN
5615;CA;PILAR FELIP
5620;CA;ACACIA
5625;CA;AVET
5645;CA;GREVOL
5675;CA;MELIA
5685;CA;MORERA
5695;CA;CASTANYER
5705;CA;OLIVERA
5715;CA;BALADRE
5725;CA;ALMENAR
5735;CA;EL COGUL
5755;CA;VILANOVA DE LA BARCA
5785;CA;ALCARRAS
5300;PL;JAUME GORT
5305;PL;VICTIMES DEL TERRORISME
5310;PL;VICTORINA VILA
5315;CA;LLORER
5320;CA;TUIA
5325;CA;SALZE
5330;CA;EUCALIPTUS
5335;CA;CATALPA
5340;CA;PEPITA URIZ
5345;CA;JOSEP M. ALBA
5350;CA;CARLES FONTSERE
5355;CA;SIMONE DE BEAUVOIR
5360;CA;CASTELL DE MONTCLAR
5365;CA;MARGARIDA XIRGU
9032;;PARC DE L'AIGUA
9033;;PUJADA GARDENY
9034;;MERCAT PARDINYES
9035;;AUDITORI - APARC.
5805;PL;PATI DE LES COMEDIES
8565;CA;VILALLER
8575;CA;RAFAEL ALBERTI
8585;CA;IVARS D'URGELL
8605;CA;ANTIC CAMI DEL MURRI
8615;CA;ARBORETUM
8625;PL;AUREMBIAIX D'URGELL
8595;CA;VINYA - RAIMAT
9036;;PROL. PRAT DE LA RIBA
2400;;PONT VELL
2405;;PONT NOU
2410;;PONT DE LA UNIVERSITAT
2415;;PONT DE PARDINYES
2420;;PASSAREL·LA LICEU ESCOLAR
9037;;CAMI CANAL DE PINYANA
1045;CM;BUROT
6015;PO;POL.INDUST. NEOPARK
6016;PO;POL.INDUST. LLEIDA PARK
8055;CA;ESTANY D'IVARS
8075;PS;TORRE PATRIOT
8105;CA;TERMENS
8115;CA;VALLFOGONA DE BALAGUER
8120;CA;FERRO
8125;;PASSAREL·LA CIUTAT JARDI
8130;;PONT JOC DE LA BOLA
8135;CA;BOMBERS
8140;PL;MIQUEL ROIG
8145;PL;ELISENDA DE MONTCADA
8150;;PASSAREL·LA MARISTES
8155;;PASSAREL·LA CAMPS ELISIS
8160;;PONT PRINCEP DE VIANA
8165;AV;VICTORIANO MUÑOZ
8170;PL;JOSEP ESTADELLA
8175;TR;CARRER DE LA PLATERIA
8180;PL;L'ENSENYANCA
8185;PL;FONT DELS TRITONS
8190;;ESPAI INFANTIL "ROVELLO"
8195;CA;DOCTORA DOLORS ALEU
8200;AV;TORRE SALSES
8205;AV;AURELIA PIJOAN
8210;CA;SIMEO MIQUEL
8215;CA;CAMBRILS
8225;CA;VALLS
8240;CA;VILA-SECA
8245;CA;VENDRELL
8250;AV;GALILEO GALILEI
8255;AV;CHARLES DARWIN
8260;PL;CASES REGIONALS
8265;PL;EMILI SUBIAS
8270;PL;FONTANET
8275;PL;PARC DE L'AVENTURA - LLIVIA
8280;PS;MANUEL RAVENTOS
8285;PS;ESCOLES DE RAIMAT
8290;PL;MOSSEN ANTONI RUBIELLA
8295;CA;CELESTI POL
8300;CA;JOSEP BETRIU
8305;CA;JOSEP M. MINGUELLA
9038;;RECINTE BARRIS NORD
9039;PL;DE LA SARDANA
9040;CM;CAMI DE GARDENY
4678;PL;MANUEL GIRO
75;PL;AIGUA
6655;JA;ROC PIFARRE
8310;PL;JOSEP BONEU
5370;PL;PEPITA REIMUNDI
2305;PL;ESCOLA
85;PG;AGUSTI DURAN I SANPERE
3815;CA;JORDI SOLE TURA
8555;AV;VICTOR TORRES
7415;CA;SEBASTIA GRACIA
7255;PQ;SANTA CECILIA
3790;PL;JOSEP PRENAFETA
5375;PL;PEPITA CERVERA
4755;PL;MARIUS CARRETERO
5380;CA;PEPITA CALVET
5555;PL;FRANCISCO MONTALBAN
8700;CA;A
8701;CA;B
8702;CA;C
8703;CA;D
8704;CA;E
8705;CA;F
8706;CA;H
8707;CA;I
8708;CA;J
8709;CA;K
8710;CA;L
8711;CA;M
8712;CA;N
8713;CA;O
8714;CA;P
8715;CA;Q
8286;CA;ESCOLES DE RAIMAT
5975;PD;LA PLANA - SUCHS
9041;PO;POL.INDUST. ENTREVIES
120;PQ;ALCALDE PONS
9042;;UDL - RECTORAT
2655;PL;FEDERICA MONTSENY
3745;PL;JOSEFINA BARREU
4995;PL;MORAL-JURADO
2315;PL;ESTEVE CUITO
3825;CA;JORDI CORTADA
2025;CA;DOCTOR RAMON PIGEM
3540;PL;INFANTS - SUCHS
9043;CT;LL-12
9044;AV;ESPORTS
9045;CA;ACUARTELAMIENTO GARDENY
